S/N,Cinema,No. of Screens,Year,Region
79,Ace Cinema,1,2023,Non-DCI Compliant Cinemas
80,Azers Cinema,2,2023,Non-DCI Compliant Cinemas
81,Blue Pictures Cinemas,2,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
82,Brands Cinema,2,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
83,Cartege Cinemas Asaba,4,2023,South-South Sites (DCI)
84,Cine 21,5,2023,South-East Sites (DCI) 
85,Citadel Cinema,1,2023,Non-DCI Compliant Cinemas
86,Covenant Plus Cinemas (Abule-Egba),2,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
87,Covenant Plus Cinemas (Ifako-Ijaiye),2,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
88,Dream Park Cinemas,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
89,Dumes Cinemas,1,2023,South-East Sites (DCI) 
90,Ebonylife Cinemas,5,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
91,Exodus Cinema,1,2023,Non-DCI Compliant Cinemas
92,Fasnet Cinema,1,2023,North-East Sites (DCI)
93,Fiesta Cinemas,3,2023,South-South Sites (DCI)
94,FilmHouse Akure,5,2023,South-West Sites (DCI)
95,FilmHouse Benin,4,2023,South-South Sites (DCI)
96,FilmHouse Circle Mall,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
97,FilmHouse Dugbe,4,2023,South-West Sites (DCI)
98,FilmHouse Garden City,5,2023,South-South Sites (DCI)
99,FilmHouse Ikota,5,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
100,FilmHouse Landmark,6,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
101,FilmHouse Lekki,6,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
102,FilmHouse Oniru,3,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
103,FilmHouse Port Harcourt,5,2023,South-South Sites (DCI)
104,FilmHouse Samonda,3,2023,South-West Sites (DCI)
105,FilmHouse Surulere,3,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
106,FilmWorld Cinemas,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
107,G2G Cinemas,1,2023,South-West Sites (DCI)
108,Genesis Asaba Mall,4,2023,South-South Sites (DCI)
109,Genesis Benin City,4,2023,South-South Sites (DCI)
110,Genesis Ceddi Plaza Abuja,4,2023,North Central Sites (DCI)
